      Step     Time          Energy          fmax
BFGS:    0 10:50:33       13.161338       45.711746
BFGS:    1 10:50:33        6.005683        3.196960
BFGS:    2 10:50:33        5.890313        2.435050
BFGS:    3 10:50:33        5.728655        0.625428
BFGS:    4 10:50:33        5.715923        0.315690
BFGS:    5 10:50:33        5.702428        0.433730
BFGS:    6 10:50:33        5.688455        0.495903
BFGS:    7 10:50:33        5.675362        0.457631
BFGS:    8 10:50:34        5.666123        0.307964
BFGS:    9 10:50:34        5.661089        0.122024
BFGS:   10 10:50:34        5.658681        0.097113
BFGS:   11 10:50:34        5.657236        0.116969
BFGS:   12 10:50:34        5.656191        0.100960
BFGS:   13 10:50:34        5.655195        0.093980
BFGS:   14 10:50:34        5.654349        0.052005
BFGS:   15 10:50:34        5.653762        0.044963
