      Step     Time          Energy          fmax
BFGS:    0 10:50:46       13.199895       45.759297
BFGS:    1 10:50:46        6.013850        3.375269
BFGS:    2 10:50:46        5.872397        2.587437
BFGS:    3 10:50:46        5.693734        0.783079
BFGS:    4 10:50:46        5.676732        0.436320
BFGS:    5 10:50:47        5.655859        0.434021
BFGS:    6 10:50:47        5.645935        0.528337
BFGS:    7 10:50:47        5.632387        0.546361
BFGS:    8 10:50:47        5.620730        0.403951
BFGS:    9 10:50:47        5.614090        0.161408
BFGS:   10 10:50:47        5.611576        0.071658
BFGS:   11 10:50:47        5.610026        0.096756
BFGS:   12 10:50:47        5.608507        0.106399
BFGS:   13 10:50:47        5.606946        0.095090
BFGS:   14 10:50:47        5.605757        0.067972
BFGS:   15 10:50:47        5.604825        0.066386
BFGS:   16 10:50:47        5.603980        0.071752
BFGS:   17 10:50:47        5.603227        0.070792
BFGS:   18 10:50:47        5.602691        0.059855
BFGS:   19 10:50:47        5.602338        0.046274
