      Step     Time          Energy          fmax
BFGS:    0 10:50:42       41.647160       81.897497
BFGS:    1 10:50:42       14.407752       25.967448
BFGS:    2 10:50:42        9.534605       14.564389
BFGS:    3 10:50:42        7.104346        6.537137
BFGS:    4 10:50:42        6.247973        2.229992
BFGS:    5 10:50:42        6.050640        1.094131
BFGS:    6 10:50:42        5.971510        1.217262
BFGS:    7 10:50:42        5.909013        1.171763
BFGS:    8 10:50:42        5.830917        1.011288
BFGS:    9 10:50:42        5.753680        0.765934
BFGS:   10 10:50:42        5.705583        0.515238
BFGS:   11 10:50:42        5.687139        0.409796
BFGS:   12 10:50:42        5.671976        0.315629
BFGS:   13 10:50:42        5.660158        0.196862
BFGS:   14 10:50:42        5.653972        0.180815
BFGS:   15 10:50:42        5.648299        0.205721
BFGS:   16 10:50:42        5.642314        0.225407
BFGS:   17 10:50:42        5.636927        0.185819
BFGS:   18 10:50:42        5.633518        0.113850
BFGS:   19 10:50:42        5.631810        0.070088
BFGS:   20 10:50:42        5.630604        0.089079
BFGS:   21 10:50:42        5.629599        0.076221
BFGS:   22 10:50:42        5.628817        0.084649
BFGS:   23 10:50:42        5.628125        0.063919
BFGS:   24 10:50:42        5.627565        0.060506
BFGS:   25 10:50:42        5.627191        0.049513
