      Step     Time          Energy          fmax
BFGS:    0 10:50:32       36.731420       49.562484
BFGS:    1 10:50:32       13.367330       18.733576
BFGS:    2 10:50:32        9.059155       10.522501
BFGS:    3 10:50:32        7.180963        4.793069
BFGS:    4 10:50:32        6.548854        1.697048
BFGS:    5 10:50:32        6.343229        1.696913
BFGS:    6 10:50:32        6.210866        1.646874
BFGS:    7 10:50:32        6.071876        1.367041
BFGS:    8 10:50:32        5.902438        0.917080
BFGS:    9 10:50:32        5.745871        0.425281
BFGS:   10 10:50:32        5.684457        0.280220
BFGS:   11 10:50:32        5.665233        0.280701
BFGS:   12 10:50:32        5.637431        0.279460
BFGS:   13 10:50:32        5.629592        0.234767
BFGS:   14 10:50:32        5.625004        0.182719
BFGS:   15 10:50:32        5.619227        0.152086
BFGS:   16 10:50:33        5.614569        0.155435
BFGS:   17 10:50:33        5.612249        0.081609
BFGS:   18 10:50:33        5.611417        0.066702
BFGS:   19 10:50:33        5.610954        0.053099
BFGS:   20 10:50:33        5.610483        0.051227
BFGS:   21 10:50:33        5.610160        0.059097
BFGS:   22 10:50:33        5.609965        0.042535
