      Step     Time          Energy          fmax
BFGS:    0 10:50:37       36.467765       49.355681
BFGS:    1 10:50:37       13.353242       18.467116
BFGS:    2 10:50:37        9.115725       10.484953
BFGS:    3 10:50:37        7.228329        4.884174
BFGS:    4 10:50:37        6.541807        1.641447
BFGS:    5 10:50:37        6.338922        1.710014
BFGS:    6 10:50:37        6.202123        1.627259
BFGS:    7 10:50:37        6.056884        1.329288
BFGS:    8 10:50:37        5.894131        0.893768
BFGS:    9 10:50:37        5.749347        0.491773
BFGS:   10 10:50:37        5.687821        0.505773
BFGS:   11 10:50:37        5.666130        0.424704
BFGS:   12 10:50:37        5.640554        0.238844
BFGS:   13 10:50:37        5.632525        0.173951
BFGS:   14 10:50:37        5.628522        0.118334
BFGS:   15 10:50:37        5.623417        0.142990
BFGS:   16 10:50:37        5.618266        0.145237
BFGS:   17 10:50:37        5.614833        0.138413
BFGS:   18 10:50:37        5.613079        0.087582
BFGS:   19 10:50:37        5.612198        0.043685
