      Step     Time          Energy          fmax
BFGS:    0 10:50:39       41.437620       81.013012
BFGS:    1 10:50:39       14.501957       25.011547
BFGS:    2 10:50:39        9.911288       13.872309
BFGS:    3 10:50:39        7.470809        6.083374
BFGS:    4 10:50:39        6.517515        2.339098
BFGS:    5 10:50:39        6.209051        1.469592
BFGS:    6 10:50:39        6.090088        1.556031
BFGS:    7 10:50:39        6.003427        1.405055
BFGS:    8 10:50:39        5.914407        1.119748
BFGS:    9 10:50:39        5.803511        0.962757
BFGS:   10 10:50:39        5.743205        0.673836
BFGS:   11 10:50:39        5.711629        0.413367
BFGS:   12 10:50:39        5.681202        0.344948
BFGS:   13 10:50:39        5.669772        0.352684
BFGS:   14 10:50:39        5.657896        0.346612
BFGS:   15 10:50:39        5.647925        0.277473
BFGS:   16 10:50:39        5.640311        0.185969
BFGS:   17 10:50:39        5.634905        0.211224
BFGS:   18 10:50:39        5.629803        0.200218
BFGS:   19 10:50:39        5.626116        0.118746
BFGS:   20 10:50:39        5.624527        0.058537
BFGS:   21 10:50:39        5.623708        0.054786
BFGS:   22 10:50:40        5.622874        0.076104
BFGS:   23 10:50:40        5.622121        0.076720
BFGS:   24 10:50:40        5.621634        0.052883
BFGS:   25 10:50:40        5.621339        0.042501
