      Step     Time          Energy          fmax
BFGS:    0 10:50:35       41.199224       80.803480
BFGS:    1 10:50:35       14.146888       25.653501
BFGS:    2 10:50:35        9.339324       14.364524
BFGS:    3 10:50:35        6.954188        6.261097
BFGS:    4 10:50:35        6.193197        2.045597
BFGS:    5 10:50:35        6.025610        1.155263
BFGS:    6 10:50:35        5.948070        1.267299
BFGS:    7 10:50:35        5.879875        1.192266
BFGS:    8 10:50:35        5.802007        0.980730
BFGS:    9 10:50:35        5.730230        0.685202
BFGS:   10 10:50:35        5.689148        0.445922
BFGS:   11 10:50:35        5.671644        0.353371
BFGS:   12 10:50:35        5.655665        0.241798
BFGS:   13 10:50:35        5.646116        0.156334
BFGS:   14 10:50:35        5.641672        0.198329
BFGS:   15 10:50:35        5.636813        0.244082
BFGS:   16 10:50:35        5.631137        0.263293
BFGS:   17 10:50:35        5.625986        0.211932
BFGS:   18 10:50:35        5.623412        0.068566
BFGS:   19 10:50:35        5.622529        0.053173
BFGS:   20 10:50:35        5.621855        0.074397
BFGS:   21 10:50:35        5.621045        0.084702
BFGS:   22 10:50:35        5.620499        0.045547
