      Step     Time          Energy          fmax
BFGS:    0 10:50:23       41.348795       80.990970
BFGS:    1 10:50:23       14.144889       25.709888
BFGS:    2 10:50:23        9.322818       14.392333
BFGS:    3 10:50:23        6.932793        6.262416
BFGS:    4 10:50:23        6.174823        2.052453
BFGS:    5 10:50:23        6.007037        1.149640
BFGS:    6 10:50:23        5.929876        1.258115
BFGS:    7 10:50:23        5.862508        1.181745
BFGS:    8 10:50:23        5.785105        0.972105
BFGS:    9 10:50:23        5.713279        0.682107
BFGS:   10 10:50:23        5.672235        0.446024
BFGS:   11 10:50:23        5.654917        0.353067
BFGS:   12 10:50:23        5.639141        0.240424
BFGS:   13 10:50:23        5.629671        0.159089
BFGS:   14 10:50:23        5.625158        0.201621
BFGS:   15 10:50:23        5.620172        0.246284
BFGS:   16 10:50:23        5.614526        0.260521
BFGS:   17 10:50:23        5.609582        0.203511
BFGS:   18 10:50:23        5.607217        0.061340
BFGS:   19 10:50:23        5.606395        0.049536
