      Step     Time          Energy          fmax
BFGS:    0 10:50:43       36.630413       49.717925
BFGS:    1 10:50:43       13.519848       18.619061
BFGS:    2 10:50:43        9.262135       10.663868
BFGS:    3 10:50:44        7.318953        5.173300
BFGS:    4 10:50:44        6.524462        1.710528
BFGS:    5 10:50:44        6.307468        1.765299
BFGS:    6 10:50:44        6.181376        1.672807
BFGS:    7 10:50:44        6.047357        1.365322
BFGS:    8 10:50:44        5.889233        0.904600
BFGS:    9 10:50:44        5.742479        0.483966
BFGS:   10 10:50:44        5.680338        0.466516
BFGS:   11 10:50:44        5.659534        0.394951
BFGS:   12 10:50:44        5.631044        0.246660
BFGS:   13 10:50:44        5.622100        0.185610
BFGS:   14 10:50:44        5.617279        0.149878
BFGS:   15 10:50:44        5.611573        0.140052
BFGS:   16 10:50:44        5.606297        0.134297
BFGS:   17 10:50:44        5.603095        0.080416
BFGS:   18 10:50:44        5.601504        0.065196
BFGS:   19 10:50:44        5.600480        0.062248
BFGS:   20 10:50:44        5.599553        0.065109
BFGS:   21 10:50:44        5.598924        0.047363
