      Step     Time          Energy          fmax
BFGS:    0 10:50:41       36.487838       49.194754
BFGS:    1 10:50:41       13.393004       18.389811
BFGS:    2 10:50:41        9.209070       10.525700
BFGS:    3 10:50:41        7.299337        5.028372
BFGS:    4 10:50:41        6.550782        1.636532
BFGS:    5 10:50:41        6.344524        1.769945
BFGS:    6 10:50:41        6.208393        1.667676
BFGS:    7 10:50:41        6.063980        1.345130
BFGS:    8 10:50:41        5.905009        0.886538
BFGS:    9 10:50:41        5.765669        0.444092
BFGS:   10 10:50:41        5.703006        0.463514
BFGS:   11 10:50:41        5.678211        0.393391
BFGS:   12 10:50:41        5.650947        0.248745
BFGS:   13 10:50:41        5.641554        0.140834
BFGS:   14 10:50:41        5.636428        0.156034
BFGS:   15 10:50:41        5.631169        0.142230
BFGS:   16 10:50:41        5.626056        0.113433
BFGS:   17 10:50:41        5.622693        0.116058
BFGS:   18 10:50:41        5.620607        0.073991
BFGS:   19 10:50:41        5.619217        0.061517
BFGS:   20 10:50:41        5.618174        0.051075
BFGS:   21 10:50:41        5.617476        0.070913
BFGS:   22 10:50:41        5.616947        0.065335
BFGS:   23 10:50:41        5.616517        0.037829
