      Step     Time          Energy          fmax
BFGS:    0 10:50:22       36.602248       49.290362
BFGS:    1 10:50:22       13.307496       18.426005
BFGS:    2 10:50:22        9.091126       10.473805
BFGS:    3 10:50:22        7.205317        4.880004
BFGS:    4 10:50:22        6.522761        1.640181
BFGS:    5 10:50:22        6.321380        1.716080
BFGS:    6 10:50:22        6.185513        1.625785
BFGS:    7 10:50:22        6.040627        1.319106
BFGS:    8 10:50:22        5.877041        0.873396
BFGS:    9 10:50:22        5.731218        0.479140
BFGS:   10 10:50:22        5.669419        0.496921
BFGS:   11 10:50:22        5.647342        0.419075
BFGS:   12 10:50:22        5.621386        0.236284
BFGS:   13 10:50:22        5.614079        0.139028
BFGS:   14 10:50:22        5.610847        0.109311
BFGS:   15 10:50:22        5.606112        0.136642
BFGS:   16 10:50:22        5.601086        0.134708
BFGS:   17 10:50:22        5.598141        0.077438
BFGS:   18 10:50:22        5.596990        0.043309
