      Step     Time          Energy          fmax
BFGS:    0 10:50:51       36.673891       49.721685
BFGS:    1 10:50:51       13.442342       18.808414
BFGS:    2 10:50:51        9.109397       10.584111
BFGS:    3 10:50:51        7.212873        4.885616
BFGS:    4 10:50:51        6.546286        1.699458
BFGS:    5 10:50:51        6.336883        1.729791
BFGS:    6 10:50:51        6.201348        1.669390
BFGS:    7 10:50:51        6.060606        1.373147
BFGS:    8 10:50:51        5.895032        0.908104
BFGS:    9 10:50:51        5.744086        0.422211
BFGS:   10 10:50:51        5.681047        0.317915
BFGS:   11 10:50:51        5.658493        0.330840
BFGS:   12 10:50:51        5.630298        0.261057
BFGS:   13 10:50:51        5.621666        0.213149
BFGS:   14 10:50:51        5.616079        0.177183
BFGS:   15 10:50:51        5.609822        0.154482
BFGS:   16 10:50:51        5.604814        0.150723
BFGS:   17 10:50:51        5.602088        0.080937
BFGS:   18 10:50:51        5.600693        0.084386
BFGS:   19 10:50:51        5.599651        0.067950
BFGS:   20 10:50:51        5.598689        0.060444
BFGS:   21 10:50:51        5.597991        0.068773
BFGS:   22 10:50:51        5.597420        0.060407
BFGS:   23 10:50:51        5.596839        0.045872
