      Step     Time          Energy          fmax
BFGS:    0 10:50:30       36.756578       49.324859
BFGS:    1 10:50:31       13.285492       18.621115
BFGS:    2 10:50:31        9.025323       10.480915
BFGS:    3 10:50:31        7.156341        4.760918
BFGS:    4 10:50:31        6.532176        1.687114
BFGS:    5 10:50:31        6.326360        1.701447
BFGS:    6 10:50:31        6.192990        1.650040
BFGS:    7 10:50:31        6.054743        1.364408
BFGS:    8 10:50:31        5.886792        0.903416
BFGS:    9 10:50:31        5.731858        0.403578
BFGS:   10 10:50:31        5.670708        0.281715
BFGS:   11 10:50:31        5.650349        0.295858
BFGS:   12 10:50:31        5.622202        0.287830
BFGS:   13 10:50:31        5.614405        0.248384
BFGS:   14 10:50:31        5.609885        0.196959
BFGS:   15 10:50:31        5.603826        0.155813
BFGS:   16 10:50:31        5.598981        0.155303
BFGS:   17 10:50:31        5.596832        0.079849
BFGS:   18 10:50:31        5.596174        0.065600
BFGS:   19 10:50:31        5.595778        0.050534
BFGS:   20 10:50:31        5.595272        0.048909
