      Step     Time          Energy          fmax
BFGS:    0 10:50:38       36.757256       49.628497
BFGS:    1 10:50:38       13.417376       18.763581
BFGS:    2 10:50:38        9.088611       10.536347
BFGS:    3 10:50:38        7.211419        4.804873
BFGS:    4 10:50:38        6.575283        1.704687
BFGS:    5 10:50:38        6.365699        1.695397
BFGS:    6 10:50:38        6.232005        1.654152
BFGS:    7 10:50:38        6.092116        1.386023
BFGS:    8 10:50:38        5.921098        0.940078
BFGS:    9 10:50:38        5.763702        0.439380
BFGS:   10 10:50:38        5.701956        0.276401
BFGS:   11 10:50:38        5.682872        0.280054
BFGS:   12 10:50:38        5.655368        0.269737
BFGS:   13 10:50:38        5.646970        0.225171
BFGS:   14 10:50:38        5.641862        0.174421
BFGS:   15 10:50:38        5.636122        0.146518
BFGS:   16 10:50:38        5.631581        0.144763
BFGS:   17 10:50:38        5.628927        0.100485
BFGS:   18 10:50:38        5.627694        0.066953
BFGS:   19 10:50:38        5.627028        0.055540
BFGS:   20 10:50:38        5.626532        0.052635
BFGS:   21 10:50:38        5.626184        0.066850
BFGS:   22 10:50:38        5.625899        0.055987
BFGS:   23 10:50:38        5.625686        0.028132
